Customer_ID,Age,Employment_Status,Credit_Card_Type,Location,Income,Credit_Score,Credit_Utilization,Missed_Payments,Loan_Balance,Debt_to_Income_Ratio,Account_Tenure,Payment_Risk_Score,Delinquent_Account,ML_Risk_Score,ML_Risk_Tier,Top_Risk_Factor
CUST0025,55,Retired,Standard,Los Angeles,41646,847,0.212566648,5,28018,0.233026817,8,8,0,0.043,Low Risk,Credit_Utilization
CUST0026,19,Employed,Gold,Phoenix,193998,515,0.255552441,5,45776,0.259893133,12,6,0,0.1094,Low Risk,Month_2
CUST0027,38,Retired,Standard,Chicago,89740,789,0.295512924,0,89660,0.278324498,8,8,0,0.0078,Low Risk,Month_5
CUST0028,50,Employed,Business,New York,136790,525,0.915989185,3,43870,0.322971102,3,6,0,0.1271,Low Risk,Credit_Utilization
CUST0029,29,Self-employed,Student,Houston,86726,588,0.59867666,2,45776,0.296942098,16,5,0,0.1561,Low Risk,Month_3
CUST0030,39,Employed,Platinum,Phoenix,88523,523,0.693081595,3,29561,0.417303253,15,2,0,0.2145,Low Risk,Payment_Risk_Score
CUST0031,61,Employed,Student,Houston,72458,374,0.539233509,3,60530,0.384711832,14,7,0,0.01,Low Risk,Month_2
CUST0032,42,Unemployed,Student,New York,60106,385,0.379622558,1,46663,0.280367244,2,4,0,0.166,Low Risk,Month_6
CUST0033,66,Unemployed,Business,Phoenix,106362,806,0.626258257,0,11308,0.43817839,19,5,1,0.9572,High Risk,Month_6
CUST0034,44,Employed,Gold,Houston,99076,440,0.188676806,4,99005,0.487302062,4,8,0,0.011,Low Risk,Credit_Utilization
CUST0035,59,Retired,Platinum,Houston,69693,316,0.28094331,5,60278,0.1,4,5,1,0.971,High Risk,Month_2
CUST0036,45,Unemployed,Gold,Phoenix,137402,464,0.646595036,5,65119,0.393229009,19,6,0,0.1298,Low Risk,Month_2
CUST0037,33,Employed,Student,New York,53756,521,0.228548954,0,36029,0.23070158,14,7,0,0.0036,Low Risk,Credit_Utilization
CUST0038,32,Employed,Standard,Houston,181319,467,0.462183706,6,62010,0.380074802,17,4,0,0.0666,Low Risk,Month_5
CUST0039,64,Employed,Student,Chicago,183152,823,0.471297531,6,87164,0.423823794,14,6,0,0.0363,Low Risk,Month_4
CUST0040,68,Employed,Gold,Phoenix,97750,352,0.394267599,6,91432,0.212300741,1,2,0,0.0782,Low Risk,Missed_Payments
CUST0041,61,Self-employed,Student,Los Angeles,107658,372,0.109776305,4,44454,0.11476729,12,6,0,0.0444,Low Risk,Credit_Utilization
CUST0042,72,Retired,Standard,Los Angeles,81617,359,0.374214222,5,11564,0.383543409,3,6,0,0.0165,Low Risk,Month_5
CUST0043,69,Retired,Business,New York,107658,792,0.335006325,0,11155,0.313540248,9,7,1,0.9779,High Risk,Missed_Payments
CUST0044,74,Employed,Gold,Chicago,66991,601,0.532287973,5,31198,0.133156125,12,6,0,0.0599,Low Risk,Month_5
CUST0045,20,Unemployed,Student,Houston,106267,751,0.522098108,3,86447,0.552956451,9,4,0,0.0793,Low Risk,Month_2
CUST0046,54,Unemployed,Gold,Los Angeles,59238,401,0.575592292,2,45776,0.362441941,8,6,1,0.9888,High Risk,Month_4
CUST0047,68,Employed,Business,New York,153311,326,0.364802745,2,5626,0.367010004,7,8,0,0.0099,Low Risk,Month_2
CUST0048,24,Employed,Student,Chicago,146800,637,0.60455559,5,2687,0.436581775,2,3,0,0.1594,Low Risk,Month_4
CUST0049,38,Retired,Student,Chicago,97750,691,0.188798653,1,63375,0.241917605,15,4,0,0.0011,Low Risk,Credit_Utilization
CUST0050,26,Employed,Gold,New York,118033,469,0.135619053,4,92865,0.313045411,13,8,0,0.0041,Low Risk,Credit_Utilization
CUST0051,56,Employed,Gold,New York,169865,336,0.05,6,92183,0.168067809,8,5,0,0.012,Low Risk,Credit_Utilization
CUST0052,35,Employed,Standard,Houston,109074,383,0.400140552,4,45776,0.239205155,10,7,0,0.0463,Low Risk,Month_2
CUST0053,21,Employed,Business,New York,185806,823,0.349340355,4,45776,0.338566,2,7,0,0.0707,Low Risk,Month_2
CUST0054,42,Employed,Standard,Houston,194819,339,0.657863122,3,29427,0.133471533,4,5,0,0.1144,Low Risk,Month_2
CUST0055,31,Retired,Student,Houston,90353,711,0.370267483,4,69342,0.236371045,9,3,0,0.0626,Low Risk,Age
CUST0056,67,Retired,Gold,Phoenix,198401,715,0.55467527,2,17401,0.207206604,12,4,0,0.1481,Low Risk,Age
CUST0057,26,Employed,Student,Chicago,76629,673,0.662659315,3,35372,0.314209225,3,5,0,0.0285,Low Risk,Month_5
CUST0058,43,Employed,Student,Chicago,107193,843,0.362736185,0,70793,0.357470126,12,9,0,0.1187,Low Risk,Month_2
CUST0059,70,Retired,Platinum,Chicago,81040,401,0.559610442,4,63443,0.37421528,11,10,0,0.0047,Low Risk,Age
CUST0060,19,Employed,Platinum,Phoenix,107658,538,0.70038551,4,37445,0.399881664,4,6,0,0.1517,Low Risk,Month_5
CUST0061,37,Unemployed,Student,Houston,140899,826,0.252367445,0,64950,0.437211685,9,7,1,0.9693,High Risk,Credit_Card_Type_Student
CUST0062,45,Employed,Gold,Houston,184160,475,0.504970468,4,49893,0.360724545,8,7,0,0.0626,Low Risk,Month_2
CUST0063,64,Retired,Student,New York,155507,801,0.363593123,0,81202,0.48873359,19,5,0,0.688,High Risk,Account_Tenure
CUST0064,24,Self-employed,Platinum,Phoenix,109074,739,0.265102024,3,54247,0.311950252,6,10,0,0.0992,Low Risk,Month_2
CUST0065,61,Unemployed,Gold,New York,43251,773,0.192709652,2,86488,0.282667885,1,4,0,0.2278,Low Risk,Credit_Utilization
CUST0066,25,Employed,Student,Phoenix,117634,815,0.261870286,0,95267,0.360730736,6,9,0,0.0148,Low Risk,Age
CUST0067,64,Retired,Business,New York,107658,612,0.512005801,1,99005,0.278358883,7,3,0,0.1069,Low Risk,Month_4
CUST0068,52,Employed,Business,Los Angeles,172164,600,0.177831109,0,7468,0.485256473,6,8,0,0.0353,Low Risk,Month_2
CUST0069,31,Employed,Student,Chicago,107658,796,0.389854595,4,85026,0.413098347,13,9,0,0.0287,Low Risk,Month_6
CUST0070,34,Self-employed,Gold,Chicago,81617,822,0.662638881,6,24917,0.375027814,18,5,0,0.0229,Low Risk,Month_2
CUST0071,53,Employed,Student,Houston,196415,797,0.589802193,6,77348,0.313141934,4,5,1,0.9861,High Risk,Age
CUST0072,67,Unemployed,Student,Los Angeles,159572,371,0.393898475,3,16310,0.259252283,17,4,0,0.0603,Low Risk,Month_4
CUST0073,57,Employed,Platinum,Chicago,136465,567,0.837938083,5,95303,0.3701325,19,6,0,0.036,Low Risk,Month_3
CUST0074,21,Self-employed,Business,Houston,36447,448,0.878607283,3,13355,0.187290255,11,5,0,0.0248,Low Risk,Month_3
CUST0075,19,Employed,Platinum,Los Angeles,159188,835,0.505224486,5,96507,0.453436353,16,2,0,0.0351,Low Risk,Month_4
CUST0076,23,Retired,Platinum,Chicago,181267,542,0.05,6,24851,0.282236329,12,8,0,0.013,Low Risk,Credit_Utilization
CUST0077,71,Employed,Student,New York,107658,611,0.677289639,6,23908,0.330510673,1,8,0,0.0125,Low Risk,Month_2
CUST0078,59,Unemployed,Platinum,Phoenix,59425,577,0.05,0,65548,0.209039892,12,2,0,0.0561,Low Risk,Credit_Utilization
CUST0079,21,Employed,Business,Los Angeles,97844,728,0.795229222,2,82909,0.372298626,6,4,0,0.0607,Low Risk,Month_2
CUST0080,71,Employed,Platinum,Houston,115235,427,0.71671698,1,31454,0.254625839,9,4,0,0.1955,Low Risk,Age
CUST0081,46,Retired,Business,Los Angeles,189358,824,0.854842501,3,4617,0.364922879,5,5,0,0.273,Low Risk,Credit_Utilization
CUST0082,35,Retired,Platinum,Houston,88847,686,0.552053112,4,92329,0.375739347,2,6,0,0.1174,Low Risk,Month_3
CUST0083,43,Unemployed,Business,Los Angeles,172504,835,0.427722847,5,28298,0.235236789,2,8,0,0.0633,Low Risk,Month_2
CUST0084,61,Retired,Platinum,Houston,115235,820,0.409979773,4,10942,0.187647088,17,7,0,0.0657,Low Risk,Month_3
CUST0085,51,Employed,Platinum,Chicago,186230,336,0.390747966,2,51440,0.453189992,10,4,0,0.0776,Low Risk,Month_2
CUST0086,27,Employed,Gold,New York,80215,572,0.696213731,5,12707,0.280770097,19,7,0,0.1345,Low Risk,Month_2
CUST0087,53,Unemployed,Business,Chicago,141131,601,0.642454298,3,92865,0.322484882,4,5,1,0.9712,High Risk,Month_2
CUST0088,31,Retired,Business,New York,188416,680,0.524045127,0,35598,0.348546452,18,4,0,0.0721,Low Risk,Month_5
CUST0089,48,Retired,Business,Chicago,129585,458,0.355563738,4,51431,0.174629987,18,6,0,0.1734,Low Risk,Month_3
CUST0090,65,Employed,Standard,Chicago,127856,361,1.0,2,2200,0.346266614,14,5,0,0.0025,Low Risk,Credit_Utilization
CUST0091,32,Employed,Platinum,Los Angeles,90353,664,0.682474923,3,20525,0.309912654,15,3,0,0.2823,Low Risk,Account_Tenure
CUST0092,25,Employed,Business,Phoenix,18709,444,0.180457616,6,44437,0.23564693,8,5,0,0.0097,Low Risk,Credit_Utilization
CUST0093,31,Retired,Standard,Houston,90353,372,0.396748797,6,59192,0.184346402,3,6,0,0.0022,Low Risk,Month_5
CUST0094,40,Employed,Gold,Houston,107658,439,0.686355219,3,17401,0.360588555,14,4,0,0.0834,Low Risk,Month_3
CUST0095,74,Unemployed,Business,Houston,35056,648,0.340092216,3,67236,0.412771201,11,9,0,0.0154,Low Risk,Month_4
CUST0096,57,Retired,Business,New York,90353,306,0.570309592,3,11251,0.317859052,2,8,0,0.0052,Low Risk,Month_5
CUST0097,38,Self-employed,Standard,Houston,121357,742,0.69015926,5,8110,0.156553466,13,4,0,0.0309,Low Risk,Month_3
CUST0098,33,Unemployed,Platinum,Houston,152326,383,0.05,3,10778,0.194266718,16,5,0,0.0683,Low Risk,Credit_Utilization
CUST0099,62,Employed,Gold,Los Angeles,189197,639,0.47839246,4,50183,0.256787629,18,6,1,0.96,High Risk,Month_4
CUST0100,35,Retired,Business,Chicago,54298,495,0.486241831,2,13355,0.456461974,5,8,0,0.0279,Low Risk,Month_2
CUST0101,64,Employed,Platinum,Houston,106007,820,0.417585509,5,11061,0.275324934,3,7,0,0.112,Low Risk,Month_3
CUST0102,70,Self-employed,Gold,Phoenix,155734,563,0.560339027,3,79354,0.253143108,6,9,0,0.294,Low Risk,Age
CUST0103,41,Retired,Student,Houston,163216,429,0.631503921,1,45776,0.13265152,18,7,1,0.9243,High Risk,Month_2
CUST0104,43,Employed,Student,New York,107658,679,0.528410189,1,60628,0.234331521,16,7,0,0.0669,Low Risk,Month_5
CUST0105,42,Self-employed,Gold,New York,178165,383,0.425234521,2,45776,0.176706365,15,5,0,0.1222,Low Risk,Month_3
CUST0106,62,Retired,Standard,New York,99076,340,0.62652426,6,30443,0.199682017,14,9,0,0.0257,Low Risk,Missed_Payments
CUST0107,58,Employed,Gold,Houston,117023,339,0.509810682,0,42556,0.311995068,7,3,0,0.3259,Low Risk,Credit_Score
CUST0108,46,Self-employed,Gold,Los Angeles,127816,820,0.453859917,0,94000,0.259883579,18,7,0,0.0339,Low Risk,Month_2
CUST0109,32,Employed,Standard,Phoenix,19748,354,0.237544123,6,29584,0.469949445,7,7,0,0.0082,Low Risk,Month_5
CUST0110,62,Employed,Standard,Houston,170026,523,0.187469043,5,64950,0.407800337,17,5,0,0.0162,Low Risk,Credit_Utilization
CUST0111,18,Self-employed,Platinum,Los Angeles,43732,474,0.233754041,5,76774,0.239111606,15,7,0,0.0083,Low Risk,Credit_Utilization
CUST0112,42,Self-employed,Platinum,Los Angeles,16015,332,0.555665812,5,8828,0.208318216,19,6,0,0.107,Low Risk,Month_2
CUST0113,24,Employed,Standard,Houston,153311,475,0.48418425,0,692,0.438264194,18,7,1,0.965,High Risk,Month_5
CUST0114,26,Employed,Student,Houston,107658,725,0.20394318,1,77743,0.466004249,9,3,0,0.0938,Low Risk,Credit_Utilization
CUST0115,41,Self-employed,Student,Los Angeles,138961,826,0.629183565,0,32588,0.1,16,6,0,0.0502,Low Risk,Account_Tenure
CUST0116,18,Retired,Gold,Los Angeles,121884,586,0.774861903,4,45776,0.309285762,12,6,0,0.1972,Low Risk,Month_5
CUST0117,61,Unemployed,Business,Los Angeles,19835,629,0.380301277,3,55980,0.274812169,12,10,1,0.0317,Low Risk,Month_5
CUST0118,25,Employed,Gold,Houston,84724,655,0.151803629,5,22510,0.364912014,6,4,0,0.0949,Low Risk,Credit_Utilization
CUST0119,41,Employed,Gold,Los Angeles,125448,644,0.358174723,1,82909,0.494266812,9,6,1,0.9798,High Risk,Month_1
CUST0120,28,Employed,Business,New York,134156,584,0.670892125,2,30509,0.251594298,1,7,0,0.1612,Low Risk,Month_2
CUST0121,68,Employed,Standard,Houston,190333,526,0.609705972,2,45776,0.1,3,6,0,0.0124,Low Risk,Age
CUST0122,34,Employed,Student,New York,125226,354,0.315513463,3,35598,0.35790077,5,4,0,0.1233,Low Risk,Month_5
CUST0123,25,Employed,Gold,Chicago,80953,623,0.804234428,1,71588,0.438996407,17,6,1,0.9561,High Risk,Credit_Card_Type_Gold
CUST0124,52,Self-employed,Business,Houston,129692,522,0.769656013,0,36955,0.269624022,5,3,0,0.8488,High Risk,Age
CUST0125,52,Employed,Platinum,Chicago,199402,427,0.353398787,0,45776,0.229496252,16,5,1,0.9316,High Risk,Month_5
CUST0126,50,Employed,Gold,Los Angeles,90880,800,0.351341999,4,89537,0.256274059,13,4,1,0.9665,High Risk,Month_3
CUST0127,22,Employed,Student,Los Angeles,118081,623,0.381434413,4,16034,0.385020537,10,5,0,0.4062,Medium Risk,Month_4
CUST0128,59,Unemployed,Standard,Phoenix,115497,693,0.398533445,0,89537,0.254553906,18,7,0,0.0975,Low Risk,Month_4
CUST0129,56,Retired,Gold,Los Angeles,199402,777,0.690107602,2,96507,0.33287603,1,9,1,0.9816,High Risk,Age
CUST0130,58,Self-employed,Gold,Chicago,166836,781,0.585065812,5,76445,0.302780292,2,7,0,0.1645,Low Risk,Month_3
CUST0131,45,Employed,Business,Los Angeles,187627,766,0.675415754,2,20052,0.292462039,10,3,0,0.0743,Low Risk,Month_5
CUST0132,24,Employed,Platinum,Houston,73141,717,0.634713029,4,36913,0.370129233,5,7,0,0.0688,Low Risk,Month_5
CUST0133,26,Retired,Platinum,Los Angeles,180983,427,0.842905414,3,77209,0.25214201,13,9,0,0.0326,Low Risk,Month_5
CUST0134,25,Self-employed,Standard,Phoenix,168772,388,0.288122891,0,94363,0.256941344,18,8,1,0.132,Low Risk,Month_5
CUST0135,29,Employed,Student,Los Angeles,16252,441,0.576071706,4,96056,0.379760285,15,5,0,0.0206,Low Risk,Month_5
CUST0136,51,Employed,Standard,Chicago,118333,346,0.065235749,4,20081,0.201307468,6,7,0,0.0048,Low Risk,Credit_Utilization
CUST0137,50,Unemployed,Gold,Chicago,192247,387,0.236608885,5,28730,0.211977981,7,6,0,0.0297,Low Risk,Credit_Utilization
CUST0138,65,Employed,Gold,Los Angeles,199294,505,0.485029323,0,85107,0.173968571,18,6,0,0.109,Low Risk,Month_3
CUST0139,72,Unemployed,Platinum,Chicago,138961,402,0.583641323,5,42556,0.384901091,19,4,1,0.9536,High Risk,Employment_Status_Unemployed
CUST0140,40,Employed,Student,Chicago,129548,794,0.479636852,0,16693,0.289476303,15,2,0,0.228,Low Risk,Account_Tenure
CUST0141,41,Self-employed,Business,Phoenix,58088,567,0.386561516,5,10951,0.168638485,6,5,0,0.0252,Low Risk,Month_3
CUST0142,54,Employed,Student,Houston,30485,617,0.422116425,2,76861,0.385380856,8,7,0,0.0463,Low Risk,Month_5
CUST0143,52,Unemployed,Gold,Phoenix,178165,823,0.773888195,3,19977,0.244445784,12,4,0,0.1201,Low Risk,Month_4
CUST0144,61,Unemployed,Business,New York,77292,414,0.423193564,3,60348,0.212832192,0,3,1,0.9745,High Risk,Employment_Status_Unemployed
CUST0145,57,Unemployed,Student,Phoenix,107658,694,0.849848324,0,3494,0.280432144,7,5,0,0.0539,Low Risk,Month_2
CUST0146,39,Retired,Student,Los Angeles,41790,681,0.658803415,1,17913,0.447872361,3,7,0,0.3318,Low Risk,Month_6
CUST0147,44,Employed,Business,Houston,31364,757,0.591507469,6,10942,0.26050378,2,5,0,0.063,Low Risk,Month_4
CUST0148,52,Self-employed,Gold,Los Angeles,129692,826,0.261280618,4,5539,0.357533886,2,8,1,0.9547,High Risk,Age
CUST0149,18,Employed,Student,New York,15404,588,0.687047632,4,91432,0.372708002,12,1,0,0.1173,Low Risk,Income
CUST0150,52,Employed,Business,Houston,32955,302,0.401245884,0,19796,0.34432733,7,3,0,0.1423,Low Risk,Income
CUST0151,54,Employed,Gold,Chicago,53513,328,0.261112048,5,95276,0.427107165,6,7,0,0.1875,Low Risk,Income
CUST0152,64,Unemployed,Business,Phoenix,189197,524,0.602568723,1,6118,0.2292884,0,4,1,0.0412,Low Risk,Month_2
CUST0153,31,Unemployed,Business,Los Angeles,97986,326,0.222410788,2,34897,0.195666516,15,7,0,0.0016,Low Risk,Credit_Utilization
CUST0154,20,Unemployed,Student,New York,107658,718,0.347551708,5,39006,0.193703334,5,8,0,0.007,Low Risk,Age
CUST0155,18,Employed,Gold,Chicago,116570,823,0.497976818,5,36342,0.285553158,6,9,0,0.1025,Low Risk,Month_2
CUST0156,22,Employed,Student,Phoenix,119185,711,0.943684285,0,44454,0.205295334,11,8,0,0.0174,Low Risk,Age
CUST0157,43,Employed,Standard,Chicago,136465,823,0.362616849,0,92381,0.314754091,8,6,0,0.8348,High Risk,Month_6
CUST0158,72,Retired,Standard,Phoenix,21801,805,0.408356696,4,95267,0.307698842,10,6,1,0.9423,High Risk,Month_1
CUST0159,31,Self-employed,Gold,Houston,15404,316,0.646469011,0,71791,0.40185733,9,3,0,0.0297,Low Risk,Month_5
CUST0160,56,Employed,Business,Chicago,54081,566,0.252340862,0,43927,0.329114431,0,4,0,0.1713,Low Risk,Month_3
CUST0161,44,Employed,Student,Chicago,74494,319,0.588561276,0,48397,0.258384814,17,4,0,0.031,Low Risk,Account_Tenure
CUST0162,26,Retired,Student,Chicago,89740,385,0.741185362,4,96485,0.34108492,3,7,0,0.0071,Low Risk,Age
CUST0163,32,Retired,Gold,Houston,116570,402,0.438581023,2,26000,0.196980598,4,7,0,0.104,Low Risk,Month_2
CUST0164,32,Retired,Gold,New York,117795,670,0.705230856,2,14417,0.296185931,8,6,1,0.9664,High Risk,Month_2
CUST0165,43,Unemployed,Standard,Phoenix,97844,391,0.558289985,6,45776,0.331940123,16,9,0,0.0083,Low Risk,Month_5
CUST0166,59,Self-employed,Platinum,Chicago,100999,457,0.353863607,6,50989,0.31293176,2,8,0,0.0378,Low Risk,Month_2
CUST0167,30,Employed,Gold,Houston,21970,328,0.460439063,0,85107,0.341506509,15,5,0,0.0402,Low Risk,Month_3
CUST0168,68,Employed,Platinum,New York,185883,604,0.424048532,6,13761,0.235595398,4,6,0,0.0564,Low Risk,Age
CUST0169,49,Retired,Gold,Phoenix,53513,339,0.482472348,4,26549,0.41520314,15,6,0,0.0156,Low Risk,Month_5
CUST0170,56,Employed,Business,Houston,150230,766,0.53054358,2,5539,0.482216895,2,3,0,0.0604,Low Risk,Month_2
CUST0171,66,Self-employed,Business,Phoenix,38959,310,0.617639987,5,67460,0.139732386,19,7,1,0.9664,High Risk,Month_4
CUST0172,69,Self-employed,Standard,Chicago,172504,677,0.60173365,2,98999,0.1784402,14,5,0,0.0817,Low Risk,Month_4
CUST0173,49,Employed,Standard,New York,101188,818,0.05,2,74403,0.304308301,2,3,0,0.1803,Low Risk,Credit_Utilization
CUST0174,21,Employed,Platinum,Houston,47217,383,0.480538362,4,31316,0.274344902,19,7,1,0.9592,High Risk,Month_5
CUST0175,47,Employed,Gold,New York,72458,407,0.198115617,6,37445,0.489641241,13,8,0,0.0068,Low Risk,Credit_Utilization
CUST0176,54,Self-employed,Student,Chicago,76476,788,0.44485455,5,69963,0.321978432,15,8,0,0.0403,Low Risk,Account_Tenure
CUST0177,40,Self-employed,Standard,New York,159356,339,0.475242082,4,68636,0.439254525,16,6,0,0.035,Low Risk,Month_5
CUST0178,56,Self-employed,Student,New York,165580,447,0.695229672,0,45776,0.1,19,4,0,0.1921,Low Risk,Account_Tenure
CUST0179,62,Employed,Student,Los Angeles,108610,446,0.493976907,3,11061,0.381416948,17,7,0,0.0284,Low Risk,Month_6
CUST0180,32,Retired,Gold,New York,182280,467,0.551843604,2,74433,0.228448318,17,7,0,0.0721,Low Risk,Month_5
CUST0181,60,Retired,Platinum,Phoenix,127816,638,0.658611276,3,50183,0.226845743,13,6,0,0.0316,Low Risk,Month_2
CUST0182,46,Employed,Gold,Houston,149415,605,0.745550452,4,30549,0.275164197,17,6,0,0.8202,High Risk,Month_5
CUST0183,53,Retired,Standard,Los Angeles,120616,469,0.475397215,4,69666,0.157541636,14,8,0,0.0919,Low Risk,Account_Tenure
CUST0184,30,Unemployed,Student,Houston,199943,429,0.518835888,4,10951,0.344278553,14,8,0,0.0799,Low Risk,Month_6
CUST0185,49,Employed,Gold,Houston,178551,811,0.50200466,3,47721,0.319071497,5,5,0,0.2671,Low Risk,Month_4
CUST0186,24,Self-employed,Gold,Chicago,68932,792,0.391480207,4,84521,0.326619225,14,4,0,0.1148,Low Risk,Month_3
CUST0187,68,Retired,Gold,Chicago,23702,401,0.346176955,0,31198,0.388703102,17,4,0,0.0088,Low Risk,Month_3
CUST0188,39,Employed,Standard,Los Angeles,107658,826,0.05,4,7796,0.451478205,3,4,1,0.9853,High Risk,Credit_Score
CUST0189,45,Retired,Platinum,Chicago,67528,526,0.284667813,1,64950,0.263628895,7,4,0,0.2782,Low Risk,Month_5
CUST0190,19,Employed,Gold,Chicago,162851,523,0.144273833,6,44437,0.347735064,14,4,0,0.007,Low Risk,Credit_Utilization
CUST0191,59,Self-employed,Standard,Chicago,183513,800,0.751039697,3,49016,0.329298821,2,5,1,0.974,High Risk,Month_6
CUST0192,62,Employed,Student,Houston,42192,301,0.537683202,1,45776,0.337761451,14,8,0,0.0347,Low Risk,Month_2
CUST0193,74,Self-employed,Business,Los Angeles,32019,475,0.474812205,4,22835,0.339259766,12,4,0,0.8026,High Risk,Month_5
CUST0194,70,Employed,Standard,Houston,67638,612,0.356502963,0,34897,0.459050334,8,11,0,0.0767,Low Risk,Age
CUST0195,23,Employed,Business,Phoenix,198401,820,0.505955853,2,42556,0.254032313,1,8,1,0.935,High Risk,Month_2
CUST0196,45,Retired,Gold,Houston,153429,836,0.330404024,5,45776,0.14742641,7,7,0,0.0598,Low Risk,Month_3
CUST0197,45,Retired,Gold,Phoenix,141020,670,0.534803711,6,39259,0.230212623,19,6,0,0.1215,Low Risk,Missed_Payments
CUST0198,61,Unemployed,Standard,New York,59238,847,0.549146797,5,22835,0.375726693,16,4,1,0.0325,Low Risk,Month_2
CUST0199,61,Employed,Business,New York,88847,751,0.32772326,4,72809,0.302332951,12,8,0,0.0302,Low Risk,Month_5
CUST0200,37,Retired,Gold,Phoenix,69098,648,0.323907607,6,85014,0.253240066,0,5,0,0.0221,Low Risk,Missed_Payments
CUST0201,47,Employed,Student,Phoenix,62295,383,0.692439871,6,49016,0.192350273,1,5,0,0.3066,Low Risk,Month_5
CUST0202,28,Employed,Platinum,Houston,164143,310,0.489428009,0,95376,0.322128612,14,10,0,0.0581,Low Risk,Month_2
CUST0203,72,Employed,Platinum,Phoenix,143778,352,0.343795914,6,10778,0.364450628,11,7,0,0.0329,Low Risk,Missed_Payments
CUST0204,45,Employed,Gold,Los Angeles,154487,725,0.42589874,3,95930,0.330587206,13,10,0,0.226,Low Risk,Month_5
CUST0205,42,Unemployed,Business,New York,107658,836,0.297881183,1,27697,0.274666967,1,5,0,0.109,Low Risk,Month_2
CUST0206,56,Retired,Gold,New York,166456,522,0.486563284,1,33772,0.314664128,17,5,1,0.971,High Risk,Month_3
CUST0207,50,Employed,Business,Phoenix,36447,610,0.666325662,1,42637,0.314084297,6,7,0,0.0851,Low Risk,Month_2
CUST0208,18,Self-employed,Student,Chicago,165159,679,0.494465866,3,3081,0.318969693,5,5,0,0.0979,Low Risk,Month_2
